2019-12-05 07:58:32.771 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hwmo.app.OrdersProviderApplicationTests], using SpringBootContextLoader
2019-12-05 07:58:39.884 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-05 07:58:39.901 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-12-05 07:58:39.917 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-05 07:58:40.622 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-05 07:58:43.169 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-12-05 07:58:45.295 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-12-05 07:58:45.398 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2019-12-05 07:58:45.633 [main] INFO  com.hwmo.app.OrdersProviderApplicationTests - Started OrdersProviderApplicationTests in 12.391 seconds (JVM running for 14.188)
2019-12-05 07:58:46.203 [SpringContextShutdownHook] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-12-05 07:58:46.209 [SpringContextShutdownHook] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application ORDERSPROVIDER with eureka with status DOWN
2019-12-05 07:58:46.212 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
